iter	Passed	Remaining
0	35	17834
1	71	17881
2	106	17651
3	141	17566
4	177	17534
5	211	17381
6	245	17270
7	278	17149
8	312	17065
9	346	16977
10	381	16951
11	415	16880
12	449	16824
13	483	16775
14	517	16745
15	552	16717
16	586	16675
17	621	16640
18	655	16587
19	689	16543
20	724	16515
21	760	16516
22	796	16516
23	831	16498
24	868	16499
25	904	16485
26	940	16468
27	974	16424
28	1008	16386
29	1044	16361
30	1078	16319
31	1113	16291
32	1148	16254
33	1184	16228
34	1218	16191
35	1254	16165
36	1288	16117
37	1322	16075
38	1356	16036
39	1362	15670
40	1396	15638
41	1431	15614
42	1466	15584
43	1500	15553
44	1535	15525
45	1569	15489
46	1603	15456
47	1638	15433
48	1672	15398
49	1707	15368
50	1743	15349
51	1778	15322
52	1813	15295
53	1848	15270
54	1883	15241
55	1918	15211
56	1954	15192
57	1989	15160
58	2025	15142
59	2060	15111
60	2095	15080
61	2130	15048
62	2164	15017
63	2202	15001
64	2236	14969
65	2271	14933
66	2305	14900
67	2340	14865
68	2374	14831
69	2408	14796
70	2444	14769
71	2479	14737
72	2513	14702
73	2548	14669
74	2582	14634
75	2616	14598
76	2651	14567
77	2687	14538
78	2723	14511
79	2759	14484
80	2794	14455
81	2830	14429
82	2866	14402
83	2902	14375
84	2938	14348
85	2973	14315
86	3008	14282
87	3044	14251
88	3079	14218
89	3113	14184
90	3148	14151
91	3183	14118
92	3218	14085
93	3252	14050
94	3286	14010
95	3320	13975
96	3355	13939
97	3388	13899
98	3422	13863
99	3457	13830
100	3491	13793
101	3525	13756
102	3560	13722
103	3594	13685
104	3628	13648
105	3661	13610
106	3695	13573
107	3731	13543
108	3768	13517
109	3804	13488
110	3839	13455
111	3875	13424
112	3910	13392
113	3945	13359
114	3980	13325
115	4015	13292
116	4050	13258
117	4085	13225
118	4119	13190
119	4154	13155
120	4188	13120
121	4222	13084
122	4256	13047
123	4291	13012
124	4326	12979
125	4361	12944
126	4396	12913
127	4431	12879
128	4465	12842
129	4500	12808
130	4533	12771
131	4568	12735
132	4602	12700
133	4636	12664
134	4671	12629
135	4706	12595
136	4743	12567
137	4778	12535
138	4815	12507
139	4850	12473
140	4887	12443
141	4923	12411
142	4958	12378
143	4993	12344
144	5027	12309
145	5063	12277
146	5097	12241
147	5131	12205
148	5166	12169
149	5200	12134
150	5234	12098
151	5268	12062
152	5302	12025
153	5335	11988
154	5378	11971
155	5423	11959
156	5463	11936
157	5498	11901
158	5532	11866
159	5567	11831
160	5602	11796
161	5636	11759
162	5670	11723
163	5706	11692
164	5742	11658
165	5778	11626
166	5814	11593
167	5850	11562
168	5885	11527
169	5920	11493
170	5955	11458
171	5991	11424
172	6025	11389
173	6060	11354
174	6094	11318
175	6129	11283
176	6163	11247
177	6197	11211
178	6232	11176
179	6266	11140
180	6300	11104
181	6335	11069
182	6370	11034
183	6404	10999
184	6438	10963
185	6473	10927
186	6507	10891
187	6541	10856
188	6575	10820
189	6610	10785
190	6644	10749
191	6679	10715
192	6715	10682
193	6751	10649
194	6788	10617
195	6824	10584
196	6860	10551
197	6895	10516
198	6930	10482
199	6964	10447
200	6999	10412
201	7034	10377
202	7068	10341
203	7103	10306
204	7137	10271
205	7172	10236
206	7206	10200
207	7241	10165
208	7274	10129
209	7309	10094
210	7344	10058
211	7378	10023
212	7413	9989
213	7448	9954
214	7483	9919
215	7517	9883
216	7551	9848
217	7586	9813
218	7621	9779
219	7656	9744
220	7693	9712
221	7729	9678
222	7765	9646
223	7801	9612
224	7837	9579
225	7872	9544
226	7907	9510
227	7942	9475
228	7976	9439
229	8012	9405
230	8046	9370
231	8081	9335
232	8116	9301
233	8151	9266
234	8186	9231
235	8220	9196
236	8255	9161
237	8290	9126
238	8324	9090
239	8359	9056
240	8394	9021
241	8428	8986
242	8463	8950
243	8497	8915
244	8531	8879
245	8565	8844
246	8600	8808
247	8634	8773
248	8669	8739
249	8706	8706
250	8742	8673
251	8778	8639
252	8814	8605
253	8850	8571
254	8884	8536
255	8920	8502
256	8955	8467
257	8989	8432
258	8999	8374
259	9033	8338
260	9067	8303
261	9101	8268
262	9136	8233
263	9171	8198
264	9206	8164
265	9241	8129
266	9259	8080
267	9293	8044
268	9327	8009
269	9361	7974
270	9395	7939
271	9429	7904
272	9464	7869
273	9498	7834
274	9533	7799
275	9567	7764
276	9601	7729
277	9635	7694
278	9671	7660
279	9707	7627
280	9744	7594
281	9780	7561
282	9817	7527
283	9852	7493
284	9886	7458
285	9922	7424
286	9957	7389
287	9991	7355
288	10025	7319
289	10060	7285
290	10095	7250
291	10129	7215
292	10164	7180
293	10198	7146
294	10232	7110
295	10267	7075
296	10300	7040
297	10335	7005
298	10369	6970
299	10403	6935
300	10438	6901
301	10472	6866
302	10506	6831
303	10541	6796
304	10576	6762
305	10611	6727
306	10646	6692
307	10681	6658
308	10717	6624
309	10753	6590
310	10789	6557
311	10826	6523
312	10861	6489
313	10896	6454
314	10930	6419
315	10964	6384
316	10998	6349
317	11033	6314
318	11067	6279
319	11101	6244
